0,0,arise,arose,arisen,powstawać, pojawiać się
0,0,awake,awoke,awoken,budzić się
0,0,be,was,been,być
0,0,bear,bore,borne,nosić, rodzić
0,0,beat,beat,beaten,bić
0,0,become,became,become,zostawać
0,0,befall,befell,befallen,przytrafić się, spotykać
0,0,begin,began,begun,zaczynać, zacząć
0,0,behold,beheld,beheld,ujrzeć
0,0,bend,bent,bent,pochylić się
0,0,beset,beset,beset,dreczyć, prześladować
0,0,bet,bet,bet,zakładać się
0,0,bind,bound,bound,przywiązywać
0,0,bite,bit,bitten,gryźć, kąsać
0,0,bleed,bled,bled,krwawić
0,0,blow,blew,blown,dmuchać
0,0,break,broke,broken,tłuc, połamać
0,0,breed,bred,bred,hodować
0,0,bring,brought,brought,przynosić
0,0,build,built,built,budować
0,0,burn,burnt,burnt,palić, spalać się
0,0,burst,burst,burst,rozrywać
0,0,buy,bought,bought,kupować
0,0,can,could,been,able	móc
0,0,cast,cast,cast,rzucać
0,0,catch,caught,caught,łapać
0,0,choose,chose,chosen,wybierać
0,0,come,came,come,przychodzić
0,0,cost,cost,cost,kosztować
0,0,creep,crept,crept,skradać się
0,0,cut,cut,cut,kroić
0,0,dig,dug,dug,kopać
0,0,do,did,done,robić
0,0,draw,drew,drawn,rysować
0,0,dream,dreamt,dreamt,snić
0,0,drink,drank,drunk,pić
0,0,drive,drove,driven,jechać
0,0,dwell,dwelt,dwelt,mieszkać
0,0,eat,ate,eaten,jeść
0,0,fall,fell,fallen,upaść
0,0,feed,fed,fed,karmić
0,0,feel,felt,felt,czuć
0,0,flee,fled,fled,uciekać
0,0,fling,flung,flung,rzucać
0,0,fly,flies,flew,flown	lecieć
0,0,forbid,forbade,forbidden,zakazywać
0,0,forecast,forecast,forecast,przewidywać
0,0,forget,forgot,forgotten,zapominać
0,0,forgive,forgave,forgiven,wybaczać
0,0,forsake,forsook,forsaken,porzucać
0,0,freeze,froze,frozen,mrozić
0,0,get,got,got,dostać
0,0,give,gave,given,dawać
0,0,go,went,gone,iść
0,0,grind,ground,ground,kruszyć
0,0,hang,hung,hung,wisieć
0,0,hang,hanged,hanged,zawieszać
0,0,have,had,had,mieć
0,0,hear,heard,heard,słyszeć
0,0,hide,hid,hidden,skrywać
0,0,hit,hit,hit,uderzać
0,0,hold,held,held,trzymać
